second_level_domain,top_level_domain,reason,timestamp
arj,com,NXDOMAIN/Timeout,2025-09-26 12:24:09
asn,com,NXDOMAIN/Timeout,2025-09-26 12:24:10
asw,com,NXDOMAIN/Timeout,2025-09-26 12:24:10
asl,com,NXDOMAIN/Timeout,2025-09-26 12:24:11
aqp,com,NXDOMAIN/Timeout,2025-09-26 12:24:11
atf,com,NXDOMAIN/Timeout,2025-09-26 12:24:11
ato,com,NXDOMAIN/Timeout,2025-09-26 12:24:12
asx,com,NXDOMAIN/Timeout,2025-09-26 12:24:12
asb,com,NXDOMAIN/Timeout,2025-09-26 12:24:12
atj,com,NXDOMAIN/Timeout,2025-09-26 12:24:12
ar8,com,NXDOMAIN/Timeout,2025-09-26 12:24:12
at7,com,NXDOMAIN/Timeout,2025-09-26 12:24:12
anv,com,NXDOMAIN/Timeout,2025-09-26 12:24:13
atw,com,NXDOMAIN/Timeout,2025-09-26 12:24:13
aq7,com,NXDOMAIN/Timeout,2025-09-26 12:24:13
atu,com,NXDOMAIN/Timeout,2025-09-26 12:24:13
atl,com,NXDOMAIN/Timeout,2025-09-26 12:24:15
atb,com,NXDOMAIN/Timeout,2025-09-26 12:24:15
atn,com,NXDOMAIN/Timeout,2025-09-26 12:24:16
avm,com,NXDOMAIN/Timeout,2025-09-26 12:24:16
at5,com,NXDOMAIN/Timeout,2025-09-26 12:24:16
atx,com,NXDOMAIN/Timeout,2025-09-26 12:24:17
as3,com,NXDOMAIN/Timeout,2025-09-26 12:24:17
auh,com,NXDOMAIN/Timeout,2025-09-26 12:24:17
avc,com,NXDOMAIN/Timeout,2025-09-26 12:24:18
atk,com,NXDOMAIN/Timeout,2025-09-26 12:24:19
av4,com,NXDOMAIN/Timeout,2025-09-26 12:24:19
asj,com,NXDOMAIN/Timeout,2025-09-26 12:24:20
atq,com,NXDOMAIN/Timeout,2025-09-26 12:24:20
awh,com,NXDOMAIN/Timeout,2025-09-26 12:24:21
awn,com,NXDOMAIN/Timeout,2025-09-26 12:24:21
awx,com,NXDOMAIN/Timeout,2025-09-26 12:24:21
avn,com,NXDOMAIN/Timeout,2025-09-26 12:24:22
awz,com,NXDOMAIN/Timeout,2025-09-26 12:24:22
akb,com,NXDOMAIN/Timeout,2025-09-26 12:24:22
aws,com,NXDOMAIN/Timeout,2025-09-26 12:24:22
avw,com,NXDOMAIN/Timeout,2025-09-26 12:24:22
